id,user,crawler_time,post_time,link,like,comment,forward,child_comment_comment_id,child_comment_comment_time,child_comment_like,child_comment_reply,second_child_comment_comment_id,second_child_comment_comment_time,second_child_comment_like
0,b'ZKN',2020-07-21 11:42:01,2020-07-19 13:16:00,http://www.weibo.com/1649818571/JbUyuBedA?from=page_1005051649818571_profile&wvr=6&mod=weibotime,118988,29329,39981,4528392298571520,2020-7-19 13:25,4877,2095,,,
0,b'ZKN',2020-07-21 11:42:01,2020-07-19 13:16:00,http://www.weibo.com/1649818571/JbUyuBedA?from=page_1005051649818571_profile&wvr=6&mod=weibotime,118988,29329,39981,4528393359720914,2020-7-19 13:29,4730,1539,,,
0,b'ZKN',2020-07-21 11:42:01,2020-07-19 13:16:00,http://www.weibo.com/1649818571/JbUyuBedA?from=page_1005051649818571_profile&wvr=6&mod=weibotime,118988,29329,39981,4528393669848039,2020-7-19 13:30,4246,1859,,,
1,b'ZKN',2020-07-21 11:42:16,2020-07-17 18:15:00,http://www.weibo.com/1649818571/JbDEXypef?from=page_1005051649818571_profile&wvr=6&mod=weibotime,131618,33282,59701,4527741937913334,2020-7-17 18:21,6349,4388,,,
1,b'ZKN',2020-07-21 11:42:16,2020-07-17 18:15:00,http://www.weibo.com/1649818571/JbDEXypef?from=page_1005051649818571_profile&wvr=6&mod=weibotime,131618,33282,59701,4527741820995910,2020-7-17 18:20,5987,3828,,,
1,b'ZKN',2020-07-21 11:42:16,2020-07-17 18:15:00,http://www.weibo.com/1649818571/JbDEXypef?from=page_1005051649818571_profile&wvr=6&mod=weibotime,131618,33282,59701,4527741862416124,2020-7-17 18:20,3957,1736,,,
1,b'ZKN',2020-07-21 11:42:16,2020-07-17 18:15:00,http://www.weibo.com/1649818571/JbDEXypef?from=page_1005051649818571_profile&wvr=6&mod=weibotime,131618,33282,59701,4527742010263294,2020-7-17 18:21,5725,3677,,,
2,b'ZKN',2020-07-21 11:42:21,2020-07-14 13:58:00,http://www.weibo.com/1649818571/Jb9GPvvm1?from=page_1005051649818571_profile&wvr=6&mod=weibotime,145629,41278,85299,4526593307641400,2020-7-14 14:16,6553,3783,4526594980713085,2020-7-14 14:23,4217
2,b'ZKN',2020-07-21 11:42:21,2020-07-14 13:58:00,http://www.weibo.com/1649818571/Jb9GPvvm1?from=page_1005051649818571_profile&wvr=6&mod=weibotime,145629,41278,85299,4526593307641400,2020-7-14 14:16,6553,3783,4526594431811573,2020-7-14 14:21,4129
2,b'ZKN',2020-07-21 11:42:21,2020-07-14 13:58:00,http://www.weibo.com/1649818571/Jb9GPvvm1?from=page_1005051649818571_profile&wvr=6&mod=weibotime,145629,41278,85299,4526593307641400,2020-7-14 14:16,6553,3783,4526597665374972,2020-7-14 14:34,3867
2,b'ZKN',2020-07-21 11:42:21,2020-07-14 13:58:00,http://www.weibo.com/1649818571/Jb9GPvvm1?from=page_1005051649818571_profile&wvr=6&mod=weibotime,145629,41278,85299,4526594285075592,2020-7-14 14:20,5995,8239,4526594980713085,2020-7-14 14:23,4217
2,b'ZKN',2020-07-21 11:42:21,2020-07-14 13:58:00,http://www.weibo.com/1649818571/Jb9GPvvm1?from=page_1005051649818571_profile&wvr=6&mod=weibotime,145629,41278,85299,4526594285075592,2020-7-14 14:20,5995,8239,4526594431811573,2020-7-14 14:21,4129
2,b'ZKN',2020-07-21 11:42:21,2020-07-14 13:58:00,http://www.weibo.com/1649818571/Jb9GPvvm1?from=page_1005051649818571_profile&wvr=6&mod=weibotime,145629,41278,85299,4526594285075592,2020-7-14 14:20,5995,8239,4526597665374972,2020-7-14 14:34,3867
2,b'ZKN',2020-07-21 11:42:21,2020-07-14 13:58:00,http://www.weibo.com/1649818571/Jb9GPvvm1?from=page_1005051649818571_profile&wvr=6&mod=weibotime,145629,41278,85299,4526597597707708,2020-7-14 14:33,5787,5553,4526597665374972,2020-7-14 14:34,3867
2,b'ZKN',2020-07-21 11:42:21,2020-07-14 13:58:00,http://www.weibo.com/1649818571/Jb9GPvvm1?from=page_1005051649818571_profile&wvr=6&mod=weibotime,145629,41278,85299,4526597597707708,2020-7-14 14:33,5787,5553,4526594980713085,2020-7-14 14:23,4217
2,b'ZKN',2020-07-21 11:42:21,2020-07-14 13:58:00,http://www.weibo.com/1649818571/Jb9GPvvm1?from=page_1005051649818571_profile&wvr=6&mod=weibotime,145629,41278,85299,4526597597707708,2020-7-14 14:33,5787,5553,4526594431811573,2020-7-14 14:21,4129
2,b'ZKN',2020-07-21 11:42:21,2020-07-14 13:58:00,http://www.weibo.com/1649818571/Jb9GPvvm1?from=page_1005051649818571_profile&wvr=6&mod=weibotime,145629,41278,85299,4526591748057820,2020-7-14 14:10,5776,3509,4526594980713085,2020-7-14 14:23,4217
